Timestamp,Sensor Type,Value1,Value2,Value3
1777292101041,1,-0.8587,6.1567,9.4941
1777292101041,1,-1.3253,5.7900,10.3014
1777292101041,1,-1.0250,5.7497,11.1428
1777292101049,9,-1.6045,4.8478,8.3723
1777292101050,2,28.8000,-36.3000,-1.9500
1777292101101,4,-0.1805,-0.8322,0.1866
1777292101112,1,-0.3595,4.4839,12.7107
1777292101112,1,-0.6846,4.1973,11.4473
1777292101112,1,-0.7080,3.8844,9.7989
1777292101118,9,-0.9908,4.5860,8.6115
1777292101118,2,28.6500,-36.1500,-6.6000
1777292101151,5,2110.7100,2115.6125,50654.0000
1777292101171,4,-0.6448,-1.1072,-0.2558
1777292101175,1,-0.1334,3.8435,8.5908
1777292101175,1,0.6278,3.7756,7.8179
1777292101175,1,0.8405,4.0866,7.6995
1777292101175,1,1.0750,3.9697,8.5645
1777292101188,9,-0.2007,4.2442,8.8384
1777292101188,2,29.2500,-35.8500,-12.5250
1777292101242,4,0.4026,-1.1803,-0.5925
1777292101242,1,1.1886,3.7621,9.2046
1777292101242,1,1.1112,3.7663,8.6142
1777292101242,1,0.9996,3.6239,7.7441
1777292101258,9,0.4474,4.3813,8.7621
1777292101258,2,28.3500,-34.2000,-12.9000
1777292101316,1,0.7032,3.4765,6.8731
1777292101316,1,0.2898,3.9173,5.8352
1777292101316,1,0.0431,4.2682,4.5488
1777292101316,5,2045.8199,2054.9500,50064.0000
1777292101316,4,0.1446,-0.8633,-0.1048
1777292101329,2,28.2000,-33.6000,-14.5500
1777292101330,9,0.9937,4.7156,8.5408
1777292101375,1,0.9165,4.2757,4.0104
1777292101375,1,1.3418,4.2808,4.7937
1777292101375,1,1.3184,4.6932,5.6088
1777292101375,1,1.1351,5.2466,6.2674
1777292101379,4,-0.3955,-0.4513,-0.3713
1777292101396,9,1.1558,4.6851,8.5372
1777292101397,2,27.8250,-33.3000,-14.6250
1777292101442,1,1.2054,5.5711,7.1979
1777292101442,1,1.5239,5.4332,8.0842
1777292101442,1,1.2508,5.4102,8.8074
1777292101448,4,-0.0058,0.0173,-0.4042
1777292101465,9,1.0711,4.7077,8.5359
1777292101470,5,2053.9700,2062.0376,51347.0000
1777292101475,2,29.2500,-31.7250,-17.3250
1777292101509,1,0.6320,5.3468,9.1376
1777292101509,1,0.4594,5.4018,9.2181
1777292101509,1,-0.1741,6.1890,9.1478
1777292101518,4,-0.1918,0.0864,-0.0906
1777292101535,9,0.7833,4.7503,8.5435
1777292101545,2,30.7500,-30.6000,-17.6250
1777292101576,1,-0.3045,6.5198,9.9281
1777292101576,1,0.3176,6.1992,10.1656
1777292101576,1,0.6715,6.2468,10.0519
1777292101576,1,1.0256,6.1777,10.3932
1777292101588,4,-0.3882,-0.4511,-0.1752
1777292101604,9,0.8442,4.5624,8.6396
1777292101614,2,30.0750,-30.5250,-16.5000
1777292101631,5,2041.2700,2050.2375,51040.0000
1777292101643,1,0.8566,5.5723,11.1018
1777292101643,1,0.4543,4.8159,12.3509
1777292101643,1,0.7062,3.6682,13.2458
1777292101657,4,-0.0725,0.4540,0.2960
1777292101674,9,0.8210,4.1294,8.8569
1777292101683,2,29.1000,-29.8500,-16.3500
1777292101710,1,1.0169,2.9910,12.9168
1777292101710,1,1.0738,2.9402,11.3025
1777292101710,1,0.2940,3.7202,9.2258
1777292101710,1,-0.0392,4.0385,7.8778
1777292101727,4,-0.4018,-0.4876,0.0799
1777292101744,9,0.8980,4.0233,8.8981
1777292101752,2,28.9500,-30.5250,-16.5750
1777292101776,1,0.9452,3.6589,7.9872
1777292101776,1,1.9490,3.2815,9.0927
